match_id,date,team,opponent,side,goals,conceded,possession,shots,sot,passes,pass_acc,big_chances,big_missed,saves,fouls,duels_won,xg
2026_06_27_Cape_Verde_vs_Saudi_Arabia,2026-06-27,Cape Verde,Saudi Arabia,home,0,0,51,15,7,497,82,1,1,6,10,56,1.31
2026_06_27_Cape_Verde_vs_Saudi_Arabia,2026-06-27,Saudi Arabia,Cape Verde,away,0,0,49,7,6,484,79,1,1,8,16,44,0.54
2026_06_27_Croatia_vs_Ghana,2026-06-27,Croatia,Ghana,home,2,1,54,8,6,558,89,0,0,2,9,50,0.39
2026_06_27_Croatia_vs_Ghana,2026-06-27,Ghana,Croatia,away,1,2,46,6,3,484,87,1,0,4,13,50,0.68
2026_06_27_Egypt_vs_Iran,2026-06-27,Egypt,Iran,home,1,1,61,15,9,617,86,0,0,6,11,43,0.76
2026_06_27_Egypt_vs_Iran,2026-06-27,Iran,Egypt,away,1,1,39,13,7,395,75,4,3,8,16,57,2.29
2026_06_27_New_Zealand_vs_Belgium,2026-06-27,New Zealand,Belgium,home,1,5,46,6,3,474,81,0,0,16,10,47,0.26
2026_06_27_New_Zealand_vs_Belgium,2026-06-27,Belgium,New Zealand,away,5,1,54,35,22,564,87,4,2,2,7,53,4.13
2026_06_27_Panama_vs_England,2026-06-27,Panama,England,home,0,2,34,13,5,309,75,0,0,8,16,37,0.58
2026_06_27_Panama_vs_England,2026-06-27,England,Panama,away,2,0,66,17,9,597,85,4,2,5,13,63,2.22
2026_06_27_Uruguay_vs_Spain,2026-06-27,Uruguay,Spain,home,0,1,34,5,2,336,73,0,0,1,14,42,0.23
2026_06_27_Uruguay_vs_Spain,2026-06-27,Spain,Uruguay,away,1,0,66,6,2,657,88,1,1,3,14,58,0.59
2026_06_28_2A_vs_2B,2026-06-29,South Africa,Canada,home,0,1,58,6,2,579,84,0,0,6,10,45,0.23
2026_06_28_2A_vs_2B,2026-06-29,Canada,South Africa,away,1,0,42,12,7,421,77,4,4,3,16,55,1.85
2026_06_28_Algeria_vs_Austria,2026-06-28,Algeria,Austria,home,3,3,65,12,7,778,93,3,1,1,3,61,1.5
2026_06_28_Algeria_vs_Austria,2026-06-28,Austria,Algeria,away,3,3,35,10,4,419,85,2,0,4,7,39,1.24
2026_06_28_Colombia_vs_Portugal,2026-06-28,Colombia,Portugal,home,0,0,55,24,13,566,88,2,2,6,12,43,1.95
2026_06_28_Colombia_vs_Portugal,2026-06-28,Portugal,Colombia,away,0,0,45,13,6,472,89,1,1,13,6,57,1.01
2026_06_28_DR_Congo_vs_Uzbekistan,2026-06-28,DR Congo,Uzbekistan,home,3,1,57,19,5,535,80,3,1,1,6,44,2.68
2026_06_28_DR_Congo_vs_Uzbekistan,2026-06-28,Uzbekistan,DR Congo,away,1,3,43,3,1,397,73,0,0,2,16,56,0.21
2026_06_28_Jordan_vs_Argentina,2026-06-28,Jordan,Argentina,home,1,3,27,5,3,306,78,1,0,2,13,63,0.63
2026_06_28_Jordan_vs_Argentina,2026-06-28,Argentina,Jordan,away,3,1,73,12,5,829,92,3,2,2,7,37,2.49
2026_06_29_1C_vs_2F,2026-06-29,Brazil,Japan,home,2,1,68,19,13,747,88,5,3,3,4,52,2.76
2026_06_29_1C_vs_2F,2026-06-29,Japan,Brazil,away,1,2,32,5,4,348,82,0,0,11,13,48,0.33
2026_06_29_1E_vs_3ABCDF,2026-06-30,Germany,Paraguay,home,1,1,75,21,14,888,86,2,2,5,18,48,1.76
2026_06_29_1E_vs_3ABCDF,2026-06-30,Paraguay,Germany,away,1,1,25,7,5,295,60,3,2,15,12,52,0.8
2026_06_30_1F_vs_2C,2026-06-30,Netherlands,Morocco,home,1,1,30,6,5,413,79,1,0,7,18,51,0.38
2026_06_30_1F_vs_2C,2026-06-30,Morocco,Netherlands,away,1,1,70,11,7,916,91,5,4,5,15,49,1.42
2026_06_30_2E_vs_2I,2026-06-30,Ivory Coast,Norway,home,1,2,47,14,5,450,85,3,2,5,6,54,1.56
2026_06_30_2E_vs_2I,2026-06-30,Norway,Ivory Coast,away,2,1,53,9,7,511,88,4,3,4,7,46,2.16
2026_07_01_1A_vs_3CEFHI,2026-07-01,Mexico,Ecuador,home,2,0,43,15,6,338,79,2,2,2,10,56,1.14
2026_07_01_1A_vs_3CEFHI,2026-07-01,Ecuador,Mexico,away,0,2,57,7,2,446,84,1,1,4,13,44,0.69
2026_07_01_1I_vs_3CDFGH,2026-06-30,France,Sweden,home,3,0,61,25,16,584,88,6,4,5,14,53,3.27
2026_07_01_1I_vs_3CDFGH,2026-06-30,Sweden,France,away,0,3,39,8,4,386,79,0,0,13,10,47,0.54
